arm,step,scope,class,n_trits,c_neg,c_zero,c_pos,p_neg,p_zero,p_pos,bits_per_trit
dense,30,class,attn.wk,327680,113065,101443,113172,0.345046997,0.309579468,0.345373535,1.583108
dense,30,class,attn.wo,327680,112664,102127,112889,0.343823242,0.311666870,0.344509888,1.583421
dense,30,class,attn.wq,327680,113098,101737,112845,0.345147705,0.310476685,0.344375610,1.583246
dense,30,class,attn.wv,327680,113237,102126,112317,0.345571899,0.311663818,0.342764282,1.583413
dense,30,class,ffn.down,1310720,453204,405535,451981,0.345767212,0.309398651,0.344834137,1.583079
dense,30,class,ffn.gate,1310720,452485,405558,452677,0.345218658,0.309416199,0.345365143,1.583082
dense,30,class,ffn.up,1310720,452510,406028,452182,0.345237732,0.309774780,0.344987488,1.583138
dense,30,pooled,ALL,5242880,1810263,1624554,1808063,0.345280266,0.309859085,0.344860649,1.583151
dense,200,class,attn.wk,327680,109298,109066,109316,0.333551025,0.332843018,0.333605957,1.584962
dense,200,class,attn.wo,327680,111931,103562,112187,0.341586304,0.316046143,0.342367554,1.583983
dense,200,class,attn.wq,327680,109767,108789,109124,0.334982300,0.331997681,0.333020020,1.584953
dense,200,class,attn.wv,327680,112562,103270,111848,0.343511963,0.315155029,0.341333008,1.583875
dense,200,class,ffn.down,1310720,450300,411088,449332,0.343551636,0.313635254,0.342813110,1.583689
dense,200,class,ffn.gate,1310720,451571,410278,448871,0.344521332,0.313017273,0.342461395,1.583604
dense,200,class,ffn.up,1310720,449890,411068,449762,0.343238831,0.313619995,0.343141174,1.583688
dense,200,pooled,ALL,5242880,1795319,1657121,1790440,0.342429924,0.316070747,0.341499329,1.583986
dense,500,class,attn.wk,327680,109018,109610,109052,0.332696533,0.334503174,0.332800293,1.584958
dense,500,class,attn.wo,327680,111417,104499,111764,0.340017700,0.318905640,0.341076660,1.584281
dense,500,class,attn.wq,327680,109185,109221,109274,0.333206177,0.333316040,0.333477783,1.584962
dense,500,class,attn.wv,327680,111975,104198,111507,0.341720581,0.317987061,0.340292358,1.584190
dense,500,class,ffn.down,1310720,450227,411143,449350,0.343495941,0.313677216,0.342826843,1.583695
dense,500,class,ffn.gate,1310720,451618,411304,447798,0.344557190,0.313800049,0.341642761,1.583702
dense,500,class,ffn.up,1310720,449689,411235,449796,0.343085480,0.313747406,0.343167114,1.583705
dense,500,pooled,ALL,5242880,1793129,1661210,1788541,0.342012215,0.316850662,0.341137123,1.584072
