arm,step,scope,class,n_trits,c_neg,c_zero,c_pos,p_neg,p_zero,p_pos,bits_per_trit
moe,30,class,attn.wk,327680,113232,101876,112572,0.345556641,0.310900879,0.343542480,1.583306
moe,30,class,attn.wo,327680,113068,102119,112493,0.345056152,0.311642456,0.343301392,1.583415
moe,30,class,attn.wq,327680,113128,101330,113222,0.345239258,0.309234619,0.345526123,1.583053
moe,30,class,attn.wv,327680,113130,102216,112334,0.345245361,0.311938477,0.342816162,1.583454
moe,30,class,ffn.down,5242880,1809043,1623270,1810567,0.345047569,0.309614182,0.345338249,1.583113
moe,30,class,ffn.gate,5242880,1810982,1622079,1809819,0.345417404,0.309387016,0.345195580,1.583078
moe,30,class,ffn.up,5242880,1811721,1622653,1808506,0.345558357,0.309496498,0.344945145,1.583095
moe,30,pooled,ALL,17039360,5884304,5275543,5879513,0.345335975,0.309609222,0.345054803,1.583113
moe,200,class,attn.wk,327680,109984,108171,109525,0.335644531,0.330111694,0.334243774,1.584927
moe,200,class,attn.wo,327680,112420,103372,111888,0.343078613,0.315466309,0.341455078,1.583914
moe,200,class,attn.wq,327680,110078,107322,110280,0.335931396,0.327520752,0.336547852,1.584852
moe,200,class,attn.wv,327680,112640,102534,112506,0.343750000,0.312908936,0.343341064,1.583594
moe,200,class,ffn.down,5242880,1794918,1652990,1794972,0.342353439,0.315282822,0.342363739,1.583895
moe,200,class,ffn.gate,5242880,1797676,1649070,1796134,0.342879486,0.314535141,0.342585373,1.583804
moe,200,class,ffn.up,5242880,1797912,1650239,1794729,0.342924500,0.314758110,0.342317390,1.583831
moe,200,pooled,ALL,17039360,5835628,5373698,5830034,0.342479295,0.315369709,0.342150996,1.583905
moe,500,class,attn.wk,327680,109167,109475,109038,0.333151245,0.334091187,0.332757568,1.584960
moe,500,class,attn.wo,327680,112273,103360,112047,0.342630005,0.315429688,0.341940308,1.583912
moe,500,class,attn.wq,327680,109917,107991,109772,0.335440063,0.329562378,0.334997559,1.584916
moe,500,class,attn.wv,327680,112249,103381,112050,0.342556763,0.315493774,0.341949463,1.583919
moe,500,class,ffn.down,5242880,1795862,1651096,1795922,0.342533493,0.314921570,0.342544937,1.583852
moe,500,class,ffn.gate,5242880,1795730,1653614,1793536,0.342508316,0.315401840,0.342089844,1.583909
moe,500,class,ffn.up,5242880,1795599,1652555,1794726,0.342483330,0.315199852,0.342316818,1.583885
moe,500,pooled,ALL,17039360,5830797,5381472,5827091,0.342195775,0.315825947,0.341978279,1.583958
