arm,step,scope,class,n_trits,c_neg,c_zero,c_pos,p_neg,p_zero,p_pos,bits_per_trit
dense,2000,class,attn.wk,3145728,1049644,1048114,1047970,0.333672841,0.333186467,0.333140691,1.584962
dense,2000,class,attn.wo,3145728,1048378,1048238,1049112,0.333270391,0.333225886,0.333503723,1.584962
dense,2000,class,attn.wq,3145728,1047998,1048928,1048802,0.333149592,0.333445231,0.333405177,1.584962
dense,2000,class,attn.wv,3145728,1055100,1036378,1054250,0.335407257,0.329455694,0.335137049,1.584914
dense,2000,class,ffn.down,12582912,4273927,4036321,4272664,0.339661201,0.320777973,0.339560827,1.584447
dense,2000,class,ffn.gate,12582912,4266211,4032210,4284491,0.339047988,0.320451260,0.340500752,1.584418
dense,2000,class,ffn.up,12582912,4285748,4013939,4283225,0.340600650,0.318999211,0.340400139,1.584291
dense,2000,pooled,ALL,50331648,17027006,16264128,17040514,0.338296215,0.323139191,0.338564595,1.584623
dense,3000,class,attn.wk,3145728,1043988,1059625,1042115,0.331874847,0.336845716,0.331279437,1.584922
dense,3000,class,attn.wo,3145728,1046923,1050183,1048622,0.332807859,0.333844185,0.333347956,1.584961
dense,3000,class,attn.wq,3145728,1042294,1060735,1042699,0.331336339,0.337198575,0.331465085,1.584914
dense,3000,class,attn.wv,3145728,1052524,1041317,1051887,0.334588369,0.331025759,0.334385872,1.584945
dense,3000,class,ffn.down,12582912,4258407,4067170,4257335,0.338427782,0.323229631,0.338342587,1.584629
dense,3000,class,ffn.gate,12582912,4248763,4069374,4264775,0.337661346,0.323404789,0.338933865,1.584639
dense,3000,class,ffn.up,12582912,4270257,4045500,4267155,0.339369535,0.321507454,0.339123011,1.584506
dense,3000,pooled,ALL,50331648,16963156,16393904,16974588,0.337027629,0.325717608,0.337254763,1.584773
dense,4000,class,attn.wk,3145728,1040122,1066277,1039329,0.330645879,0.338960330,0.330393791,1.584860
dense,4000,class,attn.wo,3145728,1046205,1052018,1047505,0.332579613,0.334427516,0.332992872,1.584958
dense,4000,class,attn.wq,3145728,1036910,1070793,1038025,0.329624812,0.340395927,0.329979261,1.584801
dense,4000,class,attn.wv,3145728,1051115,1043591,1051022,0.334140460,0.331748645,0.334110896,1.584954
dense,4000,class,ffn.down,12582912,4243801,4095957,4243154,0.337267001,0.325517416,0.337215583,1.584763
dense,4000,class,ffn.gate,12582912,4236707,4098799,4247406,0.336703221,0.325743278,0.337553501,1.584774
dense,4000,class,ffn.up,12582912,4256139,4068475,4258298,0.338247538,0.323333343,0.338419120,1.584636
dense,4000,pooled,ALL,50331648,16910999,16495910,16924739,0.335991363,0.327744285,0.336264352,1.584861
dense,5000,class,attn.wk,3145728,1036849,1073244,1035635,0.329605420,0.341175079,0.329219500,1.584763
dense,5000,class,attn.wo,3145728,1046440,1052070,1047218,0.332654317,0.334444046,0.332901637,1.584958
dense,5000,class,attn.wq,3145728,1033224,1077827,1034677,0.328453064,0.342631976,0.328914960,1.584683
dense,5000,class,attn.wv,3145728,1050597,1044744,1050387,0.333975792,0.332115173,0.333909035,1.584958
dense,5000,class,ffn.down,12582912,4229144,4122871,4230897,0.336102168,0.327656349,0.336241484,1.584858
dense,5000,class,ffn.gate,12582912,4226303,4122821,4233788,0.335876385,0.327652375,0.336471240,1.584857
dense,5000,class,ffn.up,12582912,4246816,4088591,4247505,0.337506612,0.324932019,0.337561369,1.584732
dense,5000,pooled,ALL,50331648,16869373,16582168,16880107,0.335164328,0.329458078,0.335377594,1.584914
dense,6000,class,attn.wk,3145728,1033905,1078601,1033222,0.328669548,0.342878024,0.328452428,1.584668
dense,6000,class,attn.wo,3145728,1045979,1054091,1045658,0.332507769,0.335086505,0.332405726,1.584953
dense,6000,class,attn.wq,3145728,1030199,1083971,1031558,0.327491442,0.344585101,0.327923457,1.584554
dense,6000,class,attn.wv,3145728,1051442,1043964,1050322,0.334244410,0.331867218,0.333888372,1.584955
dense,6000,class,ffn.down,12582912,4218945,4145305,4218662,0.335291624,0.329439243,0.335269133,1.584913
dense,6000,class,ffn.gate,12582912,4216010,4143481,4223421,0.335058371,0.329294284,0.335647345,1.584909
dense,6000,class,ffn.up,12582912,4235541,4110155,4237216,0.336610556,0.326645772,0.336743673,1.584817
dense,6000,pooled,ALL,50331648,16832021,16659568,16840059,0.334422211,0.330995878,0.334581912,1.584945
dense,7000,class,attn.wk,3145728,1031900,1083132,1030696,0.328032176,0.344318390,0.327649434,1.584573
dense,7000,class,attn.wo,3145728,1044276,1056667,1044785,0.331966400,0.335905393,0.332128207,1.584941
dense,7000,class,attn.wq,3145728,1027542,1088538,1029648,0.326646805,0.346036911,0.327316284,1.584441
dense,7000,class,attn.wv,3145728,1050530,1044486,1050712,0.333954493,0.332033157,0.334012349,1.584957
dense,7000,class,ffn.down,12582912,4210022,4163696,4209194,0.334582488,0.330900828,0.334516684,1.584943
dense,7000,class,ffn.gate,12582912,4210454,4158066,4214392,0.334616820,0.330453396,0.334929784,1.584935
dense,7000,class,ffn.up,12582912,4227956,4126629,4228327,0.336007754,0.327955008,0.336037238,1.584868
dense,7000,pooled,ALL,50331648,16802680,16721214,16807754,0.333839258,0.332220674,0.333940069,1.584958
dense,8000,class,attn.wk,3145728,1029715,1087033,1028980,0.327337583,0.345558484,0.327103933,1.584480
dense,8000,class,attn.wo,3145728,1043502,1057643,1044583,0.331720352,0.336215655,0.332063993,1.584935
dense,8000,class,attn.wq,3145728,1026061,1092719,1026948,0.326176008,0.347366015,0.326457977,1.584328
dense,8000,class,attn.wv,3145728,1050778,1044207,1050743,0.334033330,0.331944466,0.334022204,1.584956
dense,8000,class,ffn.down,12582912,4201214,4179993,4201705,0.333882491,0.332195997,0.333921512,1.584958
dense,8000,class,ffn.gate,12582912,4203325,4170918,4208669,0.334050258,0.331474781,0.334474961,1.584951
dense,8000,class,ffn.up,12582912,4221446,4138298,4223168,0.335490386,0.328882376,0.335627238,1.584898
dense,8000,pooled,ALL,50331648,16776041,16770811,16784796,0.333309988,0.333206077,0.333483934,1.584962
dense,9000,class,attn.wk,3145728,1028492,1089712,1027524,0.326948802,0.346410116,0.326641083,1.584411
dense,9000,class,attn.wo,3145728,1044367,1056882,1044479,0.331995328,0.335973740,0.332030932,1.584940
dense,9000,class,attn.wq,3145728,1023777,1096353,1025598,0.325449944,0.348521233,0.326028824,1.584219
dense,9000,class,attn.wv,3145728,1051149,1043857,1050722,0.334151268,0.331833204,0.334015528,1.584955
dense,9000,class,ffn.down,12582912,4197918,4189611,4195383,0.333620548,0.332960367,0.333419085,1.584962
dense,9000,class,ffn.gate,12582912,4198298,4181169,4203445,0.333650748,0.332289457,0.334059795,1.584959
dense,9000,class,ffn.up,12582912,4214681,4149633,4218598,0.334952752,0.329783201,0.335264047,1.584921
dense,9000,pooled,ALL,50331648,16758682,16807217,16765749,0.332965096,0.333929400,0.333105505,1.584961
dense,10000,class,attn.wk,3145728,1027518,1091066,1027144,0.326639175,0.346840541,0.326520284,1.584374
dense,10000,class,attn.wo,3145728,1043362,1058197,1044169,0.331675847,0.336391767,0.331932386,1.584932
dense,10000,class,attn.wq,3145728,1023340,1097647,1024741,0.325311025,0.348932584,0.325756391,1.584178
dense,10000,class,attn.wv,3145728,1051269,1043284,1051175,0.334189415,0.331651052,0.334159533,1.584953
dense,10000,class,ffn.down,12582912,4190557,4202002,4190353,0.333035549,0.333945115,0.333019336,1.584961
dense,10000,class,ffn.gate,12582912,4193889,4189790,4199233,0.333300352,0.332974593,0.333725055,1.584962
dense,10000,class,ffn.up,12582912,4211476,4158172,4213264,0.334698041,0.330461820,0.334840139,1.584936
dense,10000,pooled,ALL,50331648,16741411,16840158,16750079,0.332621952,0.334583879,0.332794170,1.584957
dense,11000,class,attn.wk,3145728,1027131,1091737,1026860,0.326516151,0.347053846,0.326430003,1.584355
dense,11000,class,attn.wo,3145728,1043222,1058169,1044337,0.331631343,0.336382866,0.331985792,1.584932
dense,11000,class,attn.wq,3145728,1022352,1099492,1023884,0.324996948,0.349519094,0.325483958,1.584118
dense,11000,class,attn.wv,3145728,1051158,1043579,1050991,0.334154129,0.331744830,0.334101041,1.584954
dense,11000,class,ffn.down,12582912,4187494,4209194,4186224,0.332792123,0.334516684,0.332691193,1.584958
dense,11000,class,ffn.gate,12582912,4192971,4193988,4195953,0.333227396,0.333308220,0.333464384,1.584962
dense,11000,class,ffn.up,12582912,4207042,4166712,4209158,0.334345659,0.331140518,0.334513823,1.584947
dense,11000,pooled,ALL,50331648,16731370,16862871,16737407,0.332422455,0.335035145,0.332542400,1.584953
dense,12000,class,attn.wk,3145728,1026933,1093141,1025654,0.326453209,0.347500165,0.326046626,1.584315
dense,12000,class,attn.wo,3145728,1043470,1058130,1044128,0.331710180,0.336370468,0.331919352,1.584933
dense,12000,class,attn.wq,3145728,1022338,1099582,1023808,0.324992498,0.349547704,0.325459798,1.584116
dense,12000,class,attn.wv,3145728,1050682,1044133,1050913,0.334002813,0.331920942,0.334076246,1.584956
dense,12000,class,ffn.down,12582912,4183520,4215637,4183755,0.332476298,0.335028728,0.332494974,1.584953
dense,12000,class,ffn.gate,12582912,4190995,4198196,4193721,0.333070358,0.333642642,0.333287001,1.584962
dense,12000,class,ffn.up,12582912,4203236,4173497,4206179,0.334043185,0.331679742,0.334277074,1.584954
dense,12000,pooled,ALL,50331648,16721174,16882316,16728158,0.332219879,0.335421483,0.332358638,1.584948
dense,13000,class,attn.wk,3145728,1026823,1093112,1025793,0.326418241,0.347490946,0.326090813,1.584316
dense,13000,class,attn.wo,3145728,1043794,1058571,1043363,0.331813176,0.336510658,0.331676165,1.584930
dense,13000,class,attn.wq,3145728,1022263,1099369,1024096,0.324968656,0.349479993,0.325551351,1.584122
dense,13000,class,attn.wv,3145728,1051186,1043488,1051054,0.334163030,0.331715902,0.334121068,1.584954
