arm,step,scope,class,n_trits,c_neg,c_zero,c_pos,p_neg,p_zero,p_pos,bits_per_trit
moe,2000,class,attn.wk,3145728,1041561,1062322,1041845,0.331103325,0.337703069,0.331193606,1.584901
moe,2000,class,attn.wo,3145728,1048445,1048283,1049000,0.333291690,0.333240191,0.333468119,1.584962
moe,2000,class,attn.wq,3145728,1041769,1061584,1042375,0.331169446,0.337468465,0.331362089,1.584907
moe,2000,class,attn.wv,3145728,1056612,1030978,1058138,0.335887909,0.327739080,0.336373011,1.584860
moe,2000,class,ffn.down,50331648,17137482,16050198,17143968,0.340491176,0.318888783,0.340620041,1.584280
moe,2000,class,ffn.gate,50331648,17064676,16005360,17261612,0.339044650,0.317997932,0.342957417,1.584177
moe,2000,class,ffn.up,50331648,17141235,16045225,17145188,0.340565741,0.318789979,0.340644280,1.584271
moe,2000,pooled,ALL,163577856,55531780,52303950,55742126,0.339482259,0.319749575,0.340768166,1.584358
moe,3000,class,attn.wk,3145728,1035847,1074583,1035298,0.329286893,0.341600736,0.329112371,1.584741
moe,3000,class,attn.wo,3145728,1046872,1050522,1048334,0.332791646,0.333951950,0.333256404,1.584961
moe,3000,class,attn.wq,3145728,1035797,1073741,1036190,0.329270999,0.341333071,0.329395930,1.584756
moe,3000,class,attn.wv,3145728,1054106,1035759,1055863,0.335091273,0.329258919,0.335649808,1.584908
moe,3000,class,ffn.down,50331648,17093021,16145445,17093182,0.339607815,0.320781171,0.339611014,1.584448
moe,3000,class,ffn.gate,50331648,16983037,16156764,17191847,0.337422629,0.321006060,0.341571311,1.584448
moe,3000,class,ffn.up,50331648,17070237,16188494,17072917,0.339155138,0.321636478,0.339208384,1.584516
moe,3000,pooled,ALL,163577856,55318917,52725308,55533631,0.338180964,0.322325462,0.339493574,1.584565
moe,4000,class,attn.wk,3145728,1031687,1083116,1030925,0.327964465,0.344313304,0.327722232,1.584573
moe,4000,class,attn.wo,3145728,1047018,1052657,1046053,0.332838058,0.334630648,0.332531293,1.584957
