# BOBMOE0 G3 expert-FFN trit census, MoE run A step 500
# absmean law: bobmoe0.weight_trits, prereg s.1
# pick rule frozen: rank 60 of 120, H0 ascending, ties by bytewise name
rank,name,shape,n_trits,c_neg,c_zero,c_pos,H0_bits_per_trit
1,blocks.1.ffn.experts.1.up.weight,512x256,131072,45216,40692,45164,1.58324286380280599e+00
2,blocks.1.ffn.experts.0.gate.weight,512x256,131072,45381,40797,44894,1.58334757944201643e+00
3,blocks.1.ffn.experts.5.gate.weight,512x256,131072,44039,41031,46002,1.58337618901202504e+00
4,blocks.0.ffn.experts.4.up.weight,512x256,131072,45082,40827,45163,1.58339484720224410e+00
5,blocks.0.ffn.experts.2.up.weight,512x256,131072,45199,40850,45023,1.58341857956292875e+00
6,blocks.2.ffn.experts.5.down.weight,256x512,131072,45170,40857,45045,1.58342715096529330e+00
7,blocks.0.ffn.experts.1.up.weight,512x256,131072,45176,40873,45023,1.58344405545664713e+00
8,blocks.3.ffn.experts.5.down.weight,256x512,131072,45131,40907,45034,1.58348150848954017e+00
9,blocks.4.ffn.experts.3.down.weight,256x512,131072,44906,40916,45250,1.58348447140857163e+00
10,blocks.3.ffn.experts.2.down.weight,256x512,131072,45002,40914,45156,1.58348811407478429e+00
11,blocks.0.ffn.experts.0.up.weight,512x256,131072,44939,40925,45208,1.58349685806564033e+00
12,blocks.0.ffn.experts.6.gate.weight,512x256,131072,44622,40978,45472,1.58351291746311507e+00
13,blocks.0.ffn.experts.5.down.weight,256x512,131072,44852,40949,45271,1.58351594829644027e+00
14,blocks.4.ffn.experts.7.down.weight,256x512,131072,45277,40962,44833,1.58352828981141180e+00
15,blocks.3.ffn.experts.2.up.weight,512x256,131072,45246,40971,44855,1.58354041051373517e+00
16,blocks.1.ffn.experts.1.down.weight,256x512,131072,45042,40970,45060,1.58354868388828995e+00
17,blocks.1.ffn.experts.0.down.weight,256x512,131072,45178,40980,44914,1.58355487821856489e+00
18,blocks.2.ffn.experts.4.down.weight,256x512,131072,45098,40980,44994,1.58355847502368841e+00
19,blocks.1.ffn.experts.0.up.weight,512x256,131072,45109,40989,44974,1.58356737776417145e+00
20,blocks.0.ffn.experts.7.down.weight,256x512,131072,45012,40994,45066,1.58357349682224280e+00
21,blocks.0.ffn.experts.5.up.weight,512x256,131072,45068,41006,44998,1.58358577682345203e+00
22,blocks.0.ffn.experts.6.up.weight,512x256,131072,45171,41011,44890,1.58358640166958331e+00
23,blocks.0.ffn.experts.5.gate.weight,512x256,131072,45397,41042,44633,1.58358726134900207e+00
24,blocks.0.ffn.experts.0.down.weight,256x512,131072,44956,41013,45103,1.58359196381263878e+00
25,blocks.0.ffn.experts.7.up.weight,512x256,131072,45121,41014,44937,1.58359224354743788e+00
26,blocks.0.ffn.experts.4.gate.weight,512x256,131072,45345,41040,44687,1.58359444137714589e+00
27,blocks.0.ffn.experts.4.down.weight,256x512,131072,45080,41017,44975,1.58359672087892722e+00
28,blocks.0.ffn.experts.7.gate.weight,512x256,131072,45435,41066,44571,1.58360159350436414e+00
29,blocks.4.ffn.experts.6.gate.weight,512x256,131072,44992,41037,45043,1.58361769349392389e+00
30,blocks.0.ffn.experts.1.gate.weight,512x256,131072,45345,41081,44646,1.58363242907126822e+00
31,blocks.2.ffn.experts.4.gate.weight,512x256,131072,44866,41058,45148,1.58363430302407249e+00
32,blocks.1.ffn.experts.1.gate.weight,512x256,131072,44879,41071,45122,1.58364866160999118e+00
33,blocks.0.ffn.experts.2.gate.weight,512x256,131072,45401,41113,44558,1.58365069200787412e+00
34,blocks.1.ffn.experts.7.gate.weight,512x256,131072,45126,41074,44872,1.58365134256360984e+00
35,blocks.4.ffn.experts.6.down.weight,256x512,131072,45006,41122,44944,1.58370282115059524e+00
36,blocks.1.ffn.experts.5.down.weight,256x512,131072,44940,41144,44988,1.58372450890777161e+00
37,blocks.1.ffn.experts.4.down.weight,256x512,131072,45009,41146,44917,1.58372608560725725e+00
38,blocks.3.ffn.experts.2.gate.weight,512x256,131072,45116,41158,44798,1.58373210341026094e+00
39,blocks.0.ffn.experts.6.down.weight,256x512,131072,45054,41171,44847,1.58374827010461949e+00
40,blocks.2.ffn.experts.4.up.weight,512x256,131072,44981,41180,44911,1.58375927779905212e+00
41,blocks.2.ffn.experts.0.up.weight,512x256,131072,44896,41186,44990,1.58376480899061489e+00
42,blocks.4.ffn.experts.7.up.weight,512x256,131072,45017,41188,44867,1.58376589330379081e+00
43,blocks.0.ffn.experts.2.down.weight,256x512,131072,44964,41188,44920,1.58376715240325772e+00
44,blocks.4.ffn.experts.2.up.weight,512x256,131072,44914,41190,44968,1.58376901178606677e+00
45,blocks.1.ffn.experts.7.up.weight,512x256,131072,44738,41201,45133,1.58377016455984054e+00
46,blocks.3.ffn.experts.5.up.weight,512x256,131072,44961,41194,44917,1.58377290589078035e+00
47,blocks.1.ffn.experts.7.down.weight,256x512,131072,44894,41195,44983,1.58377349696151182e+00
48,blocks.2.ffn.experts.0.down.weight,256x512,131072,45034,41202,44836,1.58377827317282005e+00
49,blocks.0.ffn.experts.1.down.weight,256x512,131072,44904,41202,44966,1.58378043854482353e+00
50,blocks.4.ffn.experts.7.gate.weight,512x256,131072,44303,41301,45468,1.58379006625938556e+00
51,blocks.3.ffn.experts.4.down.weight,256x512,131072,44821,41229,45022,1.58380383213137921e+00
52,blocks.3.ffn.experts.6.down.weight,256x512,131072,44770,41244,45058,1.58381534311629091e+00
53,blocks.4.ffn.experts.4.up.weight,512x256,131072,45157,41256,44659,1.58381645957989070e+00
54,blocks.2.ffn.experts.0.gate.weight,512x256,131072,45043,41245,44784,1.58381725301915344e+00
55,blocks.4.ffn.experts.6.up.weight,512x256,131072,44762,41248,45062,1.58381866053868370e+00
56,blocks.2.ffn.experts.3.down.weight,256x512,131072,44840,41246,44986,1.58382099458725789e+00
57,blocks.0.ffn.experts.0.gate.weight,512x256,131072,45136,41262,44674,1.58382417095691874e+00
58,blocks.1.ffn.experts.4.gate.weight,512x256,131072,44662,41264,45146,1.58382475703691772e+00
59,blocks.2.ffn.experts.7.down.weight,256x512,131072,44905,41267,44900,1.58384190050722951e+00
60,blocks.1.ffn.experts.3.gate.weight,512x256,131072,45274,41309,44489,1.58384280823746071e+00
61,blocks.2.ffn.experts.3.gate.weight,512x256,131072,44782,41277,45013,1.58384790528287445e+00
62,blocks.3.ffn.experts.5.gate.weight,512x256,131072,45092,41297,44683,1.58385935153717083e+00
63,blocks.3.ffn.experts.1.down.weight,256x512,131072,45135,41310,44627,1.58386568038478903e+00
64,blocks.2.ffn.experts.5.up.weight,512x256,131072,44938,41296,44838,1.58386807548696051e+00
65,blocks.2.ffn.experts.1.down.weight,256x512,131072,45019,41301,44752,1.58386890337742159e+00
66,blocks.2.ffn.experts.2.up.weight,512x256,131072,44868,41305,44899,1.58387687608240357e+00
67,blocks.2.ffn.experts.5.gate.weight,512x256,131072,44767,41318,44987,1.58388582321551930e+00
68,blocks.3.ffn.experts.6.gate.weight,512x256,131072,45112,41337,44623,1.58389133528603310e+00
69,blocks.2.ffn.experts.1.up.weight,512x256,131072,44799,41325,44948,1.58389378630179900e+00
70,blocks.2.ffn.experts.1.gate.weight,512x256,131072,45136,41355,44581,1.58390327996171321e+00
71,blocks.1.ffn.experts.4.up.weight,512x256,131072,44815,41335,44922,1.58390349355796545e+00
72,blocks.3.ffn.experts.6.up.weight,512x256,131072,44940,41340,44792,1.58390736170761848e+00
73,blocks.2.ffn.experts.7.up.weight,512x256,131072,44784,41345,44943,1.58391165419535218e+00
74,blocks.1.ffn.experts.6.gate.weight,512x256,131072,44427,41391,45254,1.58391217470417400e+00
75,blocks.4.ffn.experts.4.down.weight,256x512,131072,44662,41364,45046,1.58392116876577393e+00
76,blocks.4.ffn.experts.1.down.weight,256x512,131072,44728,41359,44985,1.58392170045395764e+00
77,blocks.2.ffn.experts.3.up.weight,512x256,131072,44877,41357,44838,1.58392387111013289e+00
78,blocks.3.ffn.experts.0.down.weight,256x512,131072,45064,41377,44631,1.58393026878581544e+00
79,blocks.4.ffn.experts.0.up.weight,512x256,131072,44632,41378,45062,1.58393131384462493e+00
80,blocks.1.ffn.experts.6.up.weight,512x256,131072,45081,41391,44600,1.58393994792550474e+00
81,blocks.2.ffn.experts.2.down.weight,256x512,131072,44658,41406,45008,1.58395979969688394e+00
82,blocks.1.ffn.experts.5.up.weight,512x256,131072,44717,41412,44943,1.58396942783101302e+00
83,blocks.2.ffn.experts.6.gate.weight,512x256,131072,44823,41411,44838,1.58397167601735722e+00
84,blocks.2.ffn.experts.2.gate.weight,512x256,131072,44997,41425,44650,1.58397648615030651e+00
85,blocks.3.ffn.experts.4.gate.weight,512x256,131072,44729,41430,44913,1.58398613405477473e+00
86,blocks.2.ffn.experts.7.gate.weight,512x256,131072,44949,41439,44684,1.58399167842024235e+00
87,blocks.3.ffn.experts.4.up.weight,512x256,131072,45044,41452,44576,1.58399371899898744e+00
88,blocks.3.ffn.experts.3.down.weight,256x512,131072,44593,41463,45016,1.58400558757921184e+00
89,blocks.4.ffn.experts.4.gate.weight,512x256,131072,44498,41477,45097,1.58400644247804889e+00
90,blocks.4.ffn.experts.2.gate.weight,512x256,131072,44561,41470,45041,1.58400838756639972e+00
91,blocks.3.ffn.experts.7.gate.weight,512x256,131072,44869,41469,44734,1.58402056905926680e+00
92,blocks.3.ffn.experts.3.up.weight,512x256,131072,44959,41518,44595,1.58405476835731829e+00
93,blocks.3.ffn.experts.0.up.weight,512x256,131072,44413,41547,45112,1.58405683230203720e+00
94,blocks.3.ffn.experts.1.gate.weight,512x256,131072,44978,41528,44566,1.58406077637851528e+00
95,blocks.4.ffn.experts.2.down.weight,256x512,131072,44959,41528,44585,1.58406261210115473e+00
96,blocks.1.ffn.experts.3.down.weight,256x512,131072,44820,41519,44733,1.58406327719863693e+00
97,blocks.0.ffn.experts.3.up.weight,512x256,131072,44803,41547,44722,1.58408646545324472e+00
98,blocks.3.ffn.experts.3.gate.weight,512x256,131072,44647,41557,44868,1.58409205174034096e+00
99,blocks.3.ffn.experts.7.up.weight,512x256,131072,44586,41572,44914,1.58410064495257608e+00
100,blocks.4.ffn.experts.3.gate.weight,512x256,131072,44663,41567,44842,1.58410123135448577e+00
101,blocks.1.ffn.experts.2.up.weight,512x256,131072,44824,41567,44681,1.58410194411915928e+00
102,blocks.4.ffn.experts.3.up.weight,512x256,131072,44691,41609,44772,1.58413659169698584e+00
103,blocks.4.ffn.experts.0.down.weight,256x512,131072,44460,41631,44981,1.58413772168193878e+00
