# BOBMOE0 stage=1 arm=dense deterministic metrics log
# arm_seed=28272 perm_seed=28372 param_total=5312000
step	lr	ce	aux	loss	gradnorm
1	3.00000000000000008e-05	5.48476219177246094e+00	0.00000000000000000e+00	5.48476219177246094e+00	9.49585723876953125e+00
2	6.00000000000000015e-05	5.38620948791503906e+00	0.00000000000000000e+00	5.38620948791503906e+00	8.84121894836425781e+00
3	9.00000000000000057e-05	5.17073917388916016e+00	0.00000000000000000e+00	5.17073917388916016e+00	6.85268306732177734e+00
4	1.20000000000000003e-04	5.00929212570190430e+00	0.00000000000000000e+00	5.00929212570190430e+00	5.42857265472412109e+00
5	1.49999999999999987e-04	4.82719278335571289e+00	0.00000000000000000e+00	4.82719278335571289e+00	4.58105564117431641e+00
6	1.80000000000000011e-04	4.71383285522460938e+00	0.00000000000000000e+00	4.71383285522460938e+00	3.65488433837890625e+00
7	2.10000000000000009e-04	4.60853528976440430e+00	0.00000000000000000e+00	4.60853528976440430e+00	3.18714857101440430e+00
8	2.40000000000000006e-04	4.54789018630981445e+00	0.00000000000000000e+00	4.54789018630981445e+00	2.83942890167236328e+00
9	2.70000000000000003e-04	4.42450571060180664e+00	0.00000000000000000e+00	4.42450571060180664e+00	2.81149005889892578e+00
10	2.99999999999999974e-04	4.41249275207519531e+00	0.00000000000000000e+00	4.41249275207519531e+00	2.55928516387939453e+00
11	3.29999999999999998e-04	4.31422376632690430e+00	0.00000000000000000e+00	4.31422376632690430e+00	2.47443652153015137e+00
12	3.60000000000000023e-04	4.28805637359619141e+00	0.00000000000000000e+00	4.28805637359619141e+00	2.23205876350402832e+00
13	3.89999999999999993e-04	4.17471313476562500e+00	0.00000000000000000e+00	4.17471313476562500e+00	2.24144577980041504e+00
14	4.20000000000000017e-04	4.12376165390014648e+00	0.00000000000000000e+00	4.12376165390014648e+00	1.99040079116821289e+00
15	4.49999999999999988e-04	3.97211432456970215e+00	0.00000000000000000e+00	3.97211432456970215e+00	1.96252024173736572e+00
16	4.80000000000000012e-04	3.94705772399902344e+00	0.00000000000000000e+00	3.94705772399902344e+00	1.60371148586273193e+00
17	5.10000000000000037e-04	3.82532930374145508e+00	0.00000000000000000e+00	3.82532930374145508e+00	1.53596234321594238e+00
18	5.40000000000000007e-04	3.82257866859436035e+00	0.00000000000000000e+00	3.82257866859436035e+00	1.27934277057647705e+00
19	5.69999999999999977e-04	3.64297962188720703e+00	0.00000000000000000e+00	3.64297962188720703e+00	1.31461679935455322e+00
20	5.99999999999999947e-04	3.57484984397888184e+00	0.00000000000000000e+00	3.57484984397888184e+00	1.29057264328002930e+00
