# BOBMOE0 stage=1 arm=moe deterministic metrics log
# arm_seed=28271 perm_seed=28371 param_total=17118720
step	lr	ce	aux	loss	gradnorm
1	3.00000000000000008e-05	5.63490486145019531e+00	1.15994846820831299e+00	5.64650440216064453e+00	1.05865802764892578e+01
2	6.00000000000000015e-05	5.49383592605590820e+00	1.13895690441131592e+00	5.50522565841674805e+00	9.05203056335449219e+00
3	9.00000000000000057e-05	5.31825351715087891e+00	1.14729177951812744e+00	5.32972621917724609e+00	8.16422748565673828e+00
4	1.20000000000000003e-04	5.08917522430419922e+00	1.18226397037506104e+00	5.10099792480468750e+00	6.13202428817749023e+00
5	1.49999999999999987e-04	4.98580789566040039e+00	1.20246255397796631e+00	4.99783229827880859e+00	4.69571399688720703e+00
6	1.80000000000000011e-04	4.77018356323242188e+00	1.22704482078552246e+00	4.78245401382446289e+00	4.37298059463500977e+00
7	2.10000000000000009e-04	4.69429636001586914e+00	1.21843588352203369e+00	4.70648050308227539e+00	3.41884732246398926e+00
8	2.40000000000000006e-04	4.59616184234619141e+00	1.20917654037475586e+00	4.60825347900390625e+00	2.96607780456542969e+00
9	2.70000000000000003e-04	4.49381732940673828e+00	1.21736121177673340e+00	4.50599098205566406e+00	2.82397055625915527e+00
10	2.99999999999999974e-04	4.40272045135498047e+00	1.20738422870635986e+00	4.41479444503784180e+00	2.67525601387023926e+00
11	3.29999999999999998e-04	4.33008241653442383e+00	1.18748164176940918e+00	4.34195709228515625e+00	2.48604822158813477e+00
12	3.60000000000000023e-04	4.23453474044799805e+00	1.16520726680755615e+00	4.24618673324584961e+00	2.41150116920471191e+00
13	3.89999999999999993e-04	4.20216035842895508e+00	1.14891970157623291e+00	4.21364974975585938e+00	2.11687517166137695e+00
14	4.20000000000000017e-04	4.10704326629638672e+00	1.12699007987976074e+00	4.11831331253051758e+00	2.01617765426635742e+00
15	4.49999999999999988e-04	3.97838306427001953e+00	1.11973524093627930e+00	3.98958039283752441e+00	1.94984865188598633e+00
16	4.80000000000000012e-04	3.91532063484191895e+00	1.10014092922210693e+00	3.92632198333740234e+00	1.74447023868560791e+00
17	5.10000000000000037e-04	3.85723853111267090e+00	1.09957659244537354e+00	3.86823439598083496e+00	1.49980473518371582e+00
18	5.40000000000000007e-04	3.75508666038513184e+00	1.10720419883728027e+00	3.76615881919860840e+00	1.32652628421783447e+00
19	5.69999999999999977e-04	3.66793870925903320e+00	1.10624408721923828e+00	3.67900109291076660e+00	1.19773566722869873e+00
20	5.99999999999999947e-04	3.63932418823242188e+00	1.12587118148803711e+00	3.65058279037475586e+00	1.01021146774291992e+00
21	6.30000000000000026e-04	3.45676374435424805e+00	1.11332869529724121e+00	3.46789693832397461e+00	1.07794165611267090e+00
22	6.59999999999999996e-04	3.42501783370971680e+00	1.11356472969055176e+00	3.43615341186523438e+00	1.05048525333404541e+00
23	6.90000000000000075e-04	3.29692482948303223e+00	1.10359668731689453e+00	3.30796074867248535e+00	1.50624084472656250e+00
24	7.20000000000000045e-04	3.23442459106445312e+00	1.12355077266693115e+00	3.24566006660461426e+00	9.92346882820129395e-01
25	7.50000000000000016e-04	3.23691725730895996e+00	1.10203588008880615e+00	3.24793767929077148e+00	9.13522362709045410e-01
26	7.79999999999999986e-04	3.13038849830627441e+00	1.10788810253143311e+00	3.14146733283996582e+00	8.74606907367706299e-01
27	8.10000000000000065e-04	3.12658119201660156e+00	1.13104236125946045e+00	3.13789153099060059e+00	8.19075405597686768e-01
28	8.40000000000000035e-04	3.10188126564025879e+00	1.12074983119964600e+00	3.11308884620666504e+00	6.62697613239288330e-01
29	8.70000000000000114e-04	3.13106608390808105e+00	1.11480450630187988e+00	3.14221405982971191e+00	8.95646393299102783e-01
30	8.99999999999999975e-04	2.97530007362365723e+00	1.16455125808715820e+00	2.98694562911987305e+00	1.34958863258361816e+00
31	9.29999999999999946e-04	2.98952150344848633e+00	1.14392089843750000e+00	3.00096082687377930e+00	7.52627074718475342e-01
32	9.60000000000000024e-04	2.95040178298950195e+00	1.14572024345397949e+00	2.96185898780822754e+00	8.51502060890197754e-01
33	9.89999999999999995e-04	2.88870787620544434e+00	1.18259239196777344e+00	2.90053391456604004e+00	6.91870748996734619e-01
34	1.02000000000000007e-03	2.95112442970275879e+00	1.26502251625061035e+00	2.96377468109130859e+00	1.27941226959228516e+00
35	1.04999999999999994e-03	2.91506576538085938e+00	1.22170424461364746e+00	2.92728281021118164e+00	1.10085558891296387e+00
36	1.08000000000000001e-03	2.81498432159423828e+00	1.24976086616516113e+00	2.82748198509216309e+00	5.81079304218292236e-01
37	1.11000000000000009e-03	2.90706491470336914e+00	1.23391628265380859e+00	2.91940402984619141e+00	7.41141915321350098e-01
38	1.13999999999999995e-03	2.85373282432556152e+00	1.22816443443298340e+00	2.86601448059082031e+00	8.02697777748107910e-01
39	1.17000000000000003e-03	2.84996795654296875e+00	1.25337362289428711e+00	2.86250162124633789e+00	9.10235702991485596e-01
40	1.19999999999999989e-03	2.74195647239685059e+00	1.24844813346862793e+00	2.75444102287292480e+00	5.93780338764190674e-01
41	1.22999999999999997e-03	2.80200409889221191e+00	1.25164341926574707e+00	2.81452059745788574e+00	5.45809388160705566e-01
42	1.26000000000000005e-03	2.79476737976074219e+00	1.21908068656921387e+00	2.80695819854736328e+00	5.10428965091705322e-01
43	1.29000000000000013e-03	2.91676449775695801e+00	1.18295741081237793e+00	2.92859411239624023e+00	5.69526433944702148e-01
44	1.31999999999999999e-03	2.73183631896972656e+00	1.18143081665039062e+00	2.74365067481994629e+00	6.42275750637054443e-01
45	1.35000000000000007e-03	2.74431705474853516e+00	1.16191864013671875e+00	2.75593614578247070e+00	5.71284651756286621e-01
