# BOBMOE0 G2 ROUTE STATS, prereg s.2 G2 definitions, frozen
# arm=moe stage=2 ckpt_step=500
# ckpt_sha256=936462e5dc415cd29dc8eeaa41a7a9a6249f0e10b05b7e06422ceb485784bf73
# corpus_sha256=2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8
# corpus_bytes=100000000 train_end=90000000 val_end=95000000
# split=val split_start=90000000 split_end=95000000 ctx=512 windows=9765 positions=4999680
# moe_layers=12 E=8 k=2 eval_batch=32
# all floats are %.17e; dead_count is emitted as a float in every row
layer,expert,count,share
0,0,671529,6.71571980606758823e-02
0,1,1357021,1.35710785490271379e-01
0,2,2063794,2.06392609126984122e-01
0,3,1009016,1.00908058115719401e-01
0,4,1020906,1.02097134216589863e-01
0,5,960571,9.60632480478750689e-02
0,6,1413069,1.41315944220430117e-01
0,7,1503454,1.50355022721454179e-01
1,0,1061176,1.06124391961085515e-01
1,1,1243136,1.24321556579621101e-01
1,2,2214318,2.21445972542242714e-01
1,3,1020498,1.02056331605222733e-01
1,4,1523305,1.52340249775985676e-01
1,5,967922,9.67983950972862300e-02
1,6,587945,5.87982630888376837e-02
1,7,1381060,1.38114839349718382e-01
2,0,1232535,1.23261388728878651e-01
2,1,880062,8.80118327572964737e-02
2,2,1620938,1.62104174667178691e-01
2,3,1416285,1.41637564804147464e-01
2,4,1467805,1.46789894553251421e-01
2,5,807954,8.08005712365591350e-02
2,6,1386894,1.38698276689708133e-01
2,7,1186887,1.18696296562980030e-01
3,0,1082858,1.08292730734767029e-01
3,1,1267395,1.26747611847158215e-01
3,2,1225684,1.22576244879672294e-01
3,3,1594367,1.59446904601894535e-01
3,4,1504944,1.50504032258064524e-01
3,5,792258,7.92308707757296421e-02
3,6,1301046,1.30112927227342551e-01
3,7,1230808,1.23088677675371225e-01
4,0,960007,9.60068444380440394e-02
4,1,1686033,1.68614091301843322e-01
4,2,1058041,1.05810871895801337e-01
4,3,1396958,1.39704741103430619e-01
4,4,1266104,1.26618503584229380e-01
4,5,1328567,1.32865203373015883e-01
4,6,1033798,1.03386416730670769e-01
4,7,1269852,1.26993327572964665e-01
5,0,1400584,1.40067364311315917e-01
5,1,1287857,1.28793942812339995e-01
5,2,1274467,1.27454857110855108e-01
5,3,1065638,1.06570620519713263e-01
5,4,1282226,1.28230806771633371e-01
5,5,1422079,1.42217001888120836e-01
5,6,901502,9.01559699820788513e-02
5,7,1365007,1.36509436603942658e-01
6,0,1236915,1.23699416762672806e-01
6,1,1557273,1.55737267185099837e-01
6,2,1240390,1.24046939004096260e-01
6,3,1143750,1.14382320468509990e-01
6,4,1125863,1.12593505984383002e-01
6,5,1372590,1.37267785138248860e-01
6,6,1436526,1.43661794354838723e-01
6,7,886053,8.86109711021505347e-02
7,0,1012842,1.01290682603686635e-01
7,1,1079601,1.07967009888632878e-01
7,2,1295549,1.29563192044290842e-01
7,3,1320456,1.32054051459293387e-01
7,4,1582098,1.58219926075268830e-01
7,5,1194258,1.19433443740399381e-01
7,6,1196174,1.19625056003584224e-01
7,7,1318382,1.31846638184843823e-01
8,0,1308832,1.30891577060931907e-01
8,1,1242842,1.24292154697900670e-01
8,2,992415,9.92478518625192069e-02
8,3,1298703,1.29878612231182800e-01
8,4,1072987,1.07305567556323603e-01
8,5,1226181,1.22625948060675879e-01
8,6,1622977,1.62308087717613930e-01
8,7,1234423,1.23450200812852018e-01
9,0,1165172,1.16524657578085000e-01
9,1,924727,9.24786186315924158e-02
9,2,1030980,1.03104598694316429e-01
9,3,1195730,1.19580653161802358e-01
9,4,1420575,1.42066592261904767e-01
9,5,1160551,1.16062528001792120e-01
9,6,1478024,1.47811859959037367e-01
9,7,1623601,1.62370491711469528e-01
10,0,1308248,1.30833173323092689e-01
10,1,1022909,1.02297447036610339e-01
10,2,1432110,1.43220166090629791e-01
10,3,843628,8.43681995647721505e-02
10,4,1458360,1.45845334101382479e-01
10,5,964295,9.64356718830005066e-02
10,6,1653328,1.65343381976446491e-01
10,7,1316482,1.31656626024065554e-01
11,0,1994603,1.99473066276241673e-01
11,1,1194886,1.19496247759856636e-01
11,2,1038496,1.03856246799795188e-01
11,3,820895,8.20947540642601170e-02
11,4,1437038,1.43712997631848444e-01
11,5,1845225,1.84534310195852536e-01
11,6,1061049,1.06111691148233489e-01
11,7,607168,6.07206861239119322e-02
