# BOBMOE0 G2 ROUTE STATS, prereg s.2 G2 definitions, frozen
# arm=moe stage=2 ckpt_step=500
# ckpt_sha256=9e7f5cf87d4b934d64d3d4c629bc577ffcf30ca7c1f79595bb9b7618352d9511
# corpus_sha256=2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8
# corpus_bytes=100000000 train_end=90000000 val_end=95000000
# split=val split_start=90000000 split_end=95000000 ctx=512 windows=9765 positions=4999680
# moe_layers=12 E=8 k=2 eval_batch=32
# all floats are %.17e; dead_count is emitted as a float in every row
layer,expert,count,share
0,0,871878,8.71933803763440818e-02
0,1,1499559,1.49965497791858665e-01
0,2,1627673,1.62777717773937541e-01
0,3,1108322,1.10839293714797740e-01
0,4,1382384,1.38247247823860719e-01
0,5,1187576,1.18765200972862264e-01
0,6,1115929,1.11600042402713776e-01
0,7,1206039,1.20611619143625198e-01
1,0,1046802,1.04686899961597538e-01
1,1,1251810,1.25189012096774188e-01
1,2,1404874,1.40496391769073220e-01
1,3,1407608,1.40769809267793145e-01
1,4,1250868,1.25094806067588327e-01
1,5,1193281,1.19335737487199181e-01
1,6,1220815,1.22089313716077827e-01
1,7,1223302,1.22338029633896575e-01
2,0,1060011,1.06007884504608296e-01
2,1,1304087,1.30417046690988220e-01
2,2,1288376,1.28845846134152592e-01
2,3,1331064,1.33114919354838712e-01
2,4,1313955,1.31403909850230427e-01
2,5,1165216,1.16529057859703022e-01
2,6,1280371,1.28045294898873535e-01
2,7,1256280,1.25636040706605223e-01
3,0,1095514,1.09558411738351250e-01
3,1,1237615,1.23769421242959546e-01
3,2,1174233,1.17430815572196617e-01
3,3,1470521,1.47061511936763950e-01
3,4,1276466,1.27654769905273940e-01
3,5,1307852,1.30793570788530461e-01
3,6,1142837,1.14291014624936002e-01
3,7,1294322,1.29440484190988220e-01
4,0,1208873,1.20895037282386070e-01
4,1,1513555,1.51365187371991811e-01
4,2,1211497,1.21157454077060939e-01
4,3,1380778,1.38086637544802854e-01
4,4,1339147,1.33923271089349705e-01
4,5,1246385,1.24646477374551964e-01
4,6,1088203,1.08827264944956481e-01
4,7,1010922,1.01098670314900149e-01
5,0,1409958,1.41004824308755772e-01
5,1,1262538,1.26261880760368650e-01
5,2,1299266,1.29934915834613418e-01
5,3,1096398,1.09646817396313365e-01
5,4,1216363,1.21644085221454173e-01
5,5,1256106,1.25618639592933956e-01
5,6,1234673,1.23475202412954427e-01
5,7,1224058,1.22413634472606253e-01
6,0,1326297,1.32638188844086014e-01
6,1,1575363,1.57546382968509979e-01
6,2,1334204,1.33428939452124945e-01
6,3,1062937,1.06300503232206855e-01
6,4,1141395,1.14146805395545309e-01
6,5,1275070,1.27515160970302105e-01
6,6,1164113,1.16418750800051207e-01
6,7,1119981,1.12005268337173586e-01
7,0,1008265,1.00832953309011777e-01
7,1,1173575,1.17365011360727092e-01
7,2,1320525,1.32060951900921653e-01
7,3,1213838,1.21391569060419868e-01
7,4,1548780,1.54887912826420893e-01
7,5,1255047,1.25512732814900163e-01
7,6,1213223,1.21330065124167941e-01
7,7,1266107,1.26618803603430613e-01
8,0,1343145,1.34323096678187398e-01
8,1,1063383,1.06345106086789556e-01
8,2,1128382,1.12845422107014842e-01
8,3,1357291,1.35737787218381978e-01
8,4,1096042,1.09611215117767544e-01
8,5,1327893,1.32797799059139798e-01
8,6,1489848,1.48994335637480796e-01
8,7,1193376,1.19345238095238101e-01
9,0,1124530,1.12460197452636967e-01
9,1,1178901,1.17897645449308752e-01
9,2,1119752,1.11982366871479777e-01
9,3,1134014,1.13408658154121864e-01
9,4,1238999,1.23907830101126479e-01
9,5,1022078,1.02214341717869944e-01
9,6,1536850,1.53694836469534052e-01
9,7,1644236,1.64434123783922165e-01
10,0,1357807,1.35789390520993342e-01
10,1,1034772,1.03483822964669736e-01
10,2,1541629,1.54172767057091653e-01
10,3,951132,9.51192876344086058e-02
10,4,1390280,1.39036898361495131e-01
10,5,992248,9.92311507936507881e-02
10,6,1431530,1.43162162378392216e-01
10,7,1299962,1.30004520289298514e-01
11,0,1816859,1.81697528641833084e-01
11,1,1085009,1.08507844502048131e-01
11,2,1041554,1.04162066372247827e-01
11,3,797976,7.98027073732718861e-02
11,4,1303881,1.30396445372503833e-01
11,5,1856083,1.85620179691500242e-01
11,6,1189433,1.18950912858422936e-01
11,7,908565,9.08623151881720464e-02
