# BOBMOE0 G2 ROUTE STATS, prereg s.2 G2 definitions, frozen
# arm=moe stage=1 ckpt_step=500
# ckpt_sha256=e3547ef1ede090affd87b6e606aadd0a664f99376911567abead540b663c2374
# corpus_sha256=2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8
# corpus_bytes=100000000 train_end=90000000 val_end=95000000
# split=val split_start=90000000 split_end=95000000 ctx=256 windows=19531 positions=4999936
# moe_layers=5 E=8 k=2 eval_batch=32
# all floats are %.17e; dead_count is emitted as a float in every row
layer,expert,count,share
0,0,1984780,1.98480540550919043e-01
0,1,554661,5.54668099751676816e-02
0,2,1350251,1.35026828343402794e-01
0,3,1041421,1.04143433035942853e-01
0,4,1255524,1.25554007091290776e-01
0,5,1805972,1.80599511673749435e-01
0,6,985615,9.85627616033485227e-02
0,7,1021648,1.02166107726178901e-01
1,0,1258547,1.25856310960780288e-01
1,1,1538191,1.53821068909682057e-01
1,2,1027506,1.02751915224514878e-01
1,3,1218901,1.21891660213250735e-01
1,4,1526244,1.52626353617326294e-01
1,5,969185,9.69197405726793249e-02
1,6,1513663,1.51368237513440168e-01
1,7,947635,9.47647129883262551e-02
2,0,1390798,1.39081580244227121e-01
2,1,1157642,1.15765681800727049e-01
2,2,1102016,1.10203010598535656e-01
2,3,1148179,1.14819369687932007e-01
2,4,1253600,1.25361604628539236e-01
2,5,1499688,1.49970719625211191e-01
2,6,1274598,1.27461431506323275e-01
2,7,1173351,1.17336601908504423e-01
3,0,1221645,1.22166063725615684e-01
3,1,1393699,1.39371683957554643e-01
3,2,866507,8.66518091431570381e-02
3,3,1383653,1.38367071098510069e-01
3,4,1191030,1.19104524537914092e-01
3,5,1270120,1.27013625774409916e-01
3,6,1100975,1.10098909266038603e-01
3,7,1572243,1.57226312496799969e-01
4,0,970218,9.70230418949362544e-02
4,1,831732,8.31742646305872746e-02
4,2,2472990,2.47302165467717994e-01
4,3,853020,8.53030918795760623e-02
4,4,1071042,1.07105570951308182e-01
4,5,1473386,1.47340485958220274e-01
4,6,733806,7.33815392837028346e-02
4,7,1593678,1.59369839933951152e-01
