# BOBMOE0 G2 ROUTE STATS, prereg s.2 G2 definitions, frozen
# arm=moe stage=2 ckpt_step=500
# ckpt_sha256=936462e5dc415cd29dc8eeaa41a7a9a6249f0e10b05b7e06422ceb485784bf73
# corpus_sha256=2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8
# corpus_bytes=100000000 train_end=90000000 val_end=95000000
# split=val split_start=90000000 split_end=95000000 ctx=512 windows=9765 positions=4999680
# moe_layers=12 E=8 k=2 eval_batch=32
# all floats are %.17e; dead_count is emitted as a float in every row
layer,e,f,count,share
0,0,1,11173,2.23474302355350764e-03
0,0,2,225173,4.50374823988735282e-02
0,0,3,23917,4.78370615719406027e-03
0,0,4,6136,1.22727854582693296e-03
0,0,5,71550,1.43109158986175107e-02
0,0,6,136994,2.74005536354326694e-02
0,0,7,196586,3.93197164618535600e-02
0,1,2,612604,1.22528641833077323e-01
0,1,3,8857,1.77151337685611874e-03
0,1,4,98,1.96012544802867383e-05
0,1,5,52508,1.05022721454173067e-02
0,1,6,227792,4.55613159242191507e-02
0,1,7,443989,8.88034834229390613e-02
0,2,3,216935,4.33897769457245244e-02
0,2,4,208561,4.17148697516641076e-02
0,2,5,336498,6.73039074500768053e-02
0,2,6,170447,3.40915818612391175e-02
0,2,7,293576,5.87189580133128525e-02
0,3,4,399948,7.99947196620583723e-02
0,3,5,158690,3.17400313620071692e-02
0,3,6,150433,3.00885256656426014e-02
0,3,7,50236,1.00478430619559654e-02
0,4,5,167916,3.35853494623655907e-02
0,4,6,200444,4.00913658474142329e-02
0,4,7,37803,7.56108390937019949e-03
0,5,6,109552,2.19118023553507429e-02
0,5,7,63857,1.27722174219150018e-02
0,6,7,417407,8.34867431515616959e-02
1,0,1,239332,4.78694636456733214e-02
1,0,2,336590,6.73223086277521809e-02
1,0,3,48172,9.63501664106502891e-03
1,0,4,286220,5.72476638504864285e-02
1,0,5,5063,1.01266481054787505e-03
1,0,6,12169,2.43395577316948266e-03
1,0,7,133630,2.67277105734767019e-02
1,1,2,357050,7.14145705325140850e-02
1,1,3,169183,3.38387656810035867e-02
1,1,4,141084,2.82186059907834109e-02
1,1,5,63700,1.27408154121863796e-02
1,1,6,119682,2.39379320276497699e-02
1,1,7,153105,3.06229598694316429e-02
1,2,3,325581,6.51203677035330220e-02
1,2,4,40810,8.16252240143369202e-03
1,2,5,364643,7.29332677291346654e-02
1,2,6,302228,6.04494687660010258e-02
1,2,7,487416,9.74894393241167445e-02
1,3,4,460417,9.20892937147977514e-02
1,3,5,0,0.00000000000000000e+00
1,3,6,10322,2.06453213005632378e-03
1,3,7,6823,1.36468733998975928e-03
1,4,5,233330,4.66689868151561674e-02
1,4,6,103042,2.06097190220174108e-02
1,4,7,258402,5.16837077572964640e-02
1,5,6,2,4.00025601638504864e-07
1,5,7,301184,6.02406554019457238e-02
1,6,7,40500,8.10051843317972399e-03
2,0,1,45932,9.18698796722990270e-03
2,0,2,256096,5.12224782386072677e-02
2,0,3,327638,6.55317940348182221e-02
2,0,4,388728,7.77505760368663590e-02
2,0,5,38385,7.67749135944700498e-03
2,0,6,8141,1.62830421146953406e-03
2,0,7,167615,3.35251456093189973e-02
2,1,2,146759,2.93536786354326694e-02
2,1,3,214402,4.28831445212493612e-02
2,1,4,291499,5.83035314260112666e-02
2,1,5,24535,4.90731406810035811e-03
2,1,6,124022,2.48059875832053259e-02
2,1,7,32913,6.58302131336405572e-03
2,2,3,482284,9.64629736303123375e-02
2,2,4,366170,7.32386872759856616e-02
2,2,5,219130,4.38288050435227880e-02
2,2,6,71600,1.43209165386584750e-02
2,2,7,78899,1.57808099718381965e-02
2,3,4,98904,1.97820660522273414e-02
2,3,5,127250,2.54516289042498733e-02
2,3,6,47468,9.49420762928827530e-03
2,3,7,118339,2.36693148361495145e-02
2,4,5,138869,2.77755776369687651e-02
2,4,6,143455,2.86928363415258590e-02
2,4,7,40180,8.03651433691756310e-03
2,5,6,251526,5.03084197388632900e-02
2,5,7,8259,1.65190572196620574e-03
2,6,7,740682,1.48145881336405522e-01
3,0,1,189779,3.79582293266769039e-02
3,0,2,151199,3.02417354710701469e-02
3,0,3,124141,2.48297891065028149e-02
3,0,4,177994,3.56010784690220169e-02
3,0,5,69657,1.39322916666666675e-02
3,0,6,191029,3.82082453277009723e-02
3,0,7,179059,3.58140921018945194e-02
3,1,2,249041,4.98113879288274441e-02
3,1,3,215325,4.30677563364055271e-02
3,1,4,132716,2.65448988735279071e-02
3,1,5,68815,1.37638808883768556e-02
3,1,6,222461,4.44950476830517153e-02
3,1,7,189258,3.78540226574500746e-02
3,2,3,195849,3.91723070276497679e-02
3,2,4,218235,4.36497935867895537e-02
3,2,5,106593,2.13199644777265739e-02
3,2,6,149879,2.99777185739887354e-02
3,2,7,154888,3.09795826932923700e-02
3,3,4,296224,5.92485919098822353e-02
3,3,5,129116,2.58248527905785979e-02
3,3,6,365461,7.30968782002048151e-02
3,3,7,268251,5.36536338325652867e-02
3,4,5,225186,4.50400825652841758e-02
3,4,6,246275,4.92581525217613905e-02
3,4,7,208314,4.16654665898617479e-02
3,5,6,43897,8.77996191756272477e-03
3,5,7,148994,2.98007072452636974e-02
3,6,7,82044,1.64098502304147464e-02
4,0,1,323064,6.46169354838709714e-02
4,0,2,98618,1.97248623911930356e-02
4,0,3,127096,2.54208269329237076e-02
4,0,4,122597,2.45209693420378912e-02
4,0,5,69756,1.39520929339477726e-02
4,0,6,86889,1.73789122503840258e-02
4,0,7,131987,2.63990895417306713e-02
4,1,2,261389,5.22811459933435752e-02
4,1,3,241655,4.83340933819764451e-02
4,1,4,188034,3.76092069892473152e-02
4,1,5,224018,4.48064676139272935e-02
4,1,6,229792,4.59613415258576519e-02
4,1,7,218081,4.36189916154633914e-02
4,2,3,167569,3.35159450204813095e-02
4,2,4,184442,3.68907610087045590e-02
4,2,5,103421,2.06855238735279071e-02
4,2,6,88295,1.76601302483358931e-02
4,2,7,154307,3.08633752560163836e-02
4,3,4,229258,4.58545346902201750e-02
4,3,5,231020,4.62069572452636981e-02
4,3,6,160860,3.21740591397849454e-02
4,3,7,239500,4.79030657962109599e-02
4,4,5,262160,5.24353558627752153e-02
4,4,6,123265,2.46545778929851515e-02
4,4,7,156348,3.12716013824884814e-02
4,5,6,206630,4.13286450332821312e-02
4,5,7,231562,4.63153641833077348e-02
4,6,7,138067,2.76151673707117247e-02
5,0,1,170383,3.40787810419866874e-02
5,0,2,197042,3.94109222990271374e-02
5,0,3,119095,2.38205245135688672e-02
5,0,4,181746,3.63515264976958519e-02
5,0,5,306059,6.12157178059395818e-02
5,0,6,125745,2.51506096390168958e-02
5,0,7,300514,6.01066468253968270e-02
5,1,2,193422,3.86868759600614426e-02
5,1,3,137105,2.74227550563236055e-02
5,1,4,234843,4.69716061827957013e-02
5,1,5,208969,4.17964749743983607e-02
5,1,6,112156,2.24326356886840744e-02
5,1,7,230979,4.61987567204301050e-02
5,2,3,150381,3.00781250000000007e-02
5,2,4,302024,6.04086661546338957e-02
5,2,5,166554,3.33129320276497679e-02
5,2,6,88485,1.76981326804915504e-02
5,2,7,176559,3.53140600998463894e-02
5,3,4,262522,5.25077604966717876e-02
5,3,5,129437,2.58890568996415771e-02
5,3,6,135497,2.71011344726062482e-02
5,3,7,131601,2.63218846006144404e-02
5,4,5,132535,2.65086965565796209e-02
5,4,6,84629,1.69268833205325139e-02
5,4,7,83927,1.67864743343573986e-02
5,5,6,196044,3.92113095238095233e-02
5,5,7,282481,5.64998159882232481e-02
5,6,7,158946,3.17912346390168965e-02
6,0,1,358323,7.16691868279569905e-02
6,0,2,78992,1.57994111623143869e-02
6,0,3,158225,3.16470254096262171e-02
6,0,4,125570,2.51156073988735296e-02
6,0,5,265218,5.30469950076804947e-02
6,0,6,167587,3.35195452508960587e-02
6,0,7,83000,1.66010624679979527e-02
6,1,2,204244,4.08514144905273921e-02
6,1,3,252789,5.05610359062980061e-02
6,1,4,212606,4.25239215309779831e-02
6,1,5,133694,2.67405113927291355e-02
6,1,6,260915,5.21863399257552485e-02
6,1,7,134702,2.69421242959549424e-02
6,2,3,206205,4.12436395929339505e-02
6,2,4,202703,4.05431947644649265e-02
6,2,5,233105,4.66239839349718369e-02
6,2,6,199680,3.99385560675883239e-02
6,2,7,115461,2.30936779953917065e-02
6,3,4,105558,2.11129512288786465e-02
6,3,5,111070,2.22154217869943681e-02
6,3,6,207695,4.15416586661546336e-02
6,3,7,102208,2.04429083461341518e-02
6,4,5,188887,3.77798179083461347e-02
6,4,6,181849,3.63721278161802386e-02
6,4,7,108690,2.17393913210445454e-02
6,5,6,258712,5.17457117255504320e-02
6,5,7,181904,3.63831285202252941e-02
6,6,7,160088,3.20196492575524835e-02
7,0,1,181668,3.63359254992319525e-02
7,0,2,156079,3.12177979390680996e-02
7,0,3,217827,4.35681883640553005e-02
7,0,4,111511,2.23036274321556580e-02
7,0,5,78138,1.56286002304147457e-02
7,0,6,120906,2.41827476958525363e-02
7,0,7,146713,2.93444780465949816e-02
7,1,2,83756,1.67522721454173053e-02
7,1,3,183296,3.66615463389656920e-02
7,1,4,184734,3.69491647465437778e-02
7,1,5,95027,1.90066164234511011e-02
7,1,6,182312,3.64647337429595472e-02
7,1,7,168808,3.37637608806963668e-02
7,2,3,237631,4.75292418714797771e-02
7,2,4,298822,5.97682251664106504e-02
7,2,5,207818,4.15662602406553991e-02
7,2,6,111503,2.23020273297491051e-02
7,2,7,199940,3.99905593958013311e-02
7,3,4,144543,2.89104502688172053e-02
7,3,5,161869,3.23758720558115706e-02
7,3,6,150262,3.00543234767025082e-02
7,3,7,225028,4.50084805427547335e-02
7,4,5,376525,7.53098198284690157e-02
7,4,6,251777,5.03586229518689227e-02
7,4,7,214186,4.28399417562723983e-02
7,5,6,145294,2.90606598822324633e-02
7,5,7,129587,2.59190588197644664e-02
7,6,7,234120,4.68269969278033785e-02
8,0,1,262782,5.25597638248847948e-02
