# BOBMOE0 G2 ROUTE STATS, prereg s.2 G2 definitions, frozen
# arm=moe stage=2 ckpt_step=500
# ckpt_sha256=9e7f5cf87d4b934d64d3d4c629bc577ffcf30ca7c1f79595bb9b7618352d9511
# corpus_sha256=2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8
# corpus_bytes=100000000 train_end=90000000 val_end=95000000
# split=val split_start=90000000 split_end=95000000 ctx=512 windows=9765 positions=4999680
# moe_layers=12 E=8 k=2 eval_batch=32
# all floats are %.17e; dead_count is emitted as a float in every row
layer,e,f,count,share
0,0,1,34346,6.86963965693804419e-03
0,0,2,159837,3.19694460445468509e-02
0,0,3,101485,2.02982990911418325e-02
0,0,4,32625,6.52541762672811075e-03
0,0,5,341129,6.82301667306707688e-02
0,0,6,34133,6.82703693036354302e-03
0,0,7,168323,3.36667546722990291e-02
0,1,2,456385,9.12828421018945235e-02
0,1,3,16892,3.37861623143881221e-03
0,1,4,4408,8.81656426011264761e-04
0,1,5,155111,3.10241855478750640e-02
0,1,6,401852,8.03755440348182248e-02
0,1,7,430565,8.61185115847414168e-02
0,2,3,134205,2.68427179339477719e-02
0,2,4,344065,6.88174043138760905e-02
0,2,5,281302,5.62640008960573479e-02
0,2,6,79339,1.58688156041986682e-02
0,2,7,172540,3.45102086533538160e-02
0,3,4,561043,1.12215781810035845e-01
0,3,5,115403,2.30820772529441894e-02
0,3,6,87981,1.75973262288786486e-02
0,3,7,91313,1.82637688812083976e-02
0,4,5,95863,1.91738271249359965e-02
0,4,6,204673,4.09372199820788527e-02
0,4,7,139707,2.79431883640553005e-02
0,5,6,151564,3.03147401433691739e-02
0,5,7,47204,9.44140424987199162e-03
0,6,7,156387,3.12794018817204311e-02
1,0,1,285703,5.71442572324628792e-02
1,0,2,223170,4.46368567588325618e-02
1,0,3,94761,1.89534130184331809e-02
1,0,4,197212,3.94449244751664124e-02
1,0,5,42342,8.46894201228878644e-03
1,0,6,38238,7.64808947772657472e-03
1,0,7,165376,3.30773169482846893e-02
1,1,2,117904,2.35823092677931376e-02
1,1,3,247083,4.94197628648233508e-02
1,1,4,168028,3.36077508960573451e-02
1,1,5,60074,1.20155689964157701e-02
1,1,6,239178,4.78386616743471590e-02
1,1,7,133840,2.67697132616487449e-02
1,2,3,249396,4.98823924731182783e-02
1,2,4,39262,7.85290258576548834e-03
1,2,5,350492,7.01028865847414251e-02
1,2,6,302658,6.05354742703533011e-02
1,2,7,121992,2.43999615975422426e-02
1,3,4,597493,1.19506248399897597e-01
1,3,5,106267,2.12547603046594966e-02
1,3,6,1719,3.43822004608294949e-04
1,3,7,110889,2.21792194700460819e-02
1,4,5,11685,2.33714957757296489e-03
1,4,6,201707,4.03439820148489489e-02
1,4,7,35481,7.09665418586789571e-03
1,5,6,202006,4.04037858422939059e-02
1,5,7,420415,8.40883816564260145e-02
1,6,7,235309,4.70648121479774681e-02
2,0,1,55807,1.11621143753200206e-02
2,0,2,158122,3.16264240911418304e-02
2,0,3,264305,5.28643833205325112e-02
2,0,4,228740,4.57509280593958040e-02
2,0,5,142480,2.84978238607270853e-02
2,0,6,2972,5.94438044034818194e-04
2,0,7,207585,4.15196572580645157e-02
2,1,2,252496,5.05024321556579656e-02
2,1,3,314655,6.29350278417818709e-02
2,1,4,370036,7.40119367639528875e-02
2,1,5,106573,2.13159642217101881e-02
2,1,6,164332,3.28685035842293874e-02
2,1,7,40188,8.03811443932411600e-03
2,2,3,310001,6.20041682667690705e-02
2,2,4,276481,5.52997391833077306e-02
2,2,5,202307,4.04639896953404993e-02
2,2,6,34033,6.80703565028161796e-03
2,2,7,54936,1.09879032258064519e-02
2,3,4,85353,1.70716925883256515e-02
2,3,5,198902,3.97829461085509456e-02
2,3,6,32981,6.59662218381976487e-03
2,3,7,124867,2.49749983998975925e-02
2,4,5,168660,3.37341589861751140e-02
2,4,6,100912,2.01836917562724025e-02
2,4,7,83773,1.67556723630312328e-02
2,5,6,273252,5.46538978494623684e-02
2,5,7,73042,1.46093349974398354e-02
2,6,7,671889,1.34386400729646693e-01
3,0,1,241062,4.82154857910906329e-02
3,0,2,156751,3.13522065412186399e-02
3,0,3,76545,1.53099798387096777e-02
3,0,4,141065,2.82148057475678435e-02
3,0,5,131255,2.62526801715309774e-02
3,0,6,157865,3.15750208013312883e-02
3,0,7,190971,3.81966445852534586e-02
3,1,2,207930,4.15886616743471604e-02
3,1,3,202783,4.05591957885304694e-02
3,1,4,74395,1.48799523169482854e-02
3,1,5,142228,2.84474206349206345e-02
3,1,6,228698,4.57425275217613961e-02
3,1,7,140519,2.81055987583205338e-02
3,2,3,110042,2.20098086277521754e-02
3,2,4,217884,4.35795890937019995e-02
3,2,5,202159,4.04343878008192534e-02
3,2,6,114481,2.28976654505888381e-02
3,2,7,164986,3.29993119559651785e-02
3,3,4,204721,4.09468205965181770e-02
3,3,5,249470,4.98971934203789047e-02
3,3,6,328521,6.57084053379416305e-02
3,3,7,298439,5.96916202636968776e-02
3,4,5,285179,5.70394505248335917e-02
3,4,6,175121,3.50264416922683036e-02
3,4,7,178101,3.56224798387096767e-02
3,5,6,57203,1.14413322452636967e-02
3,5,7,240358,4.80746767793138741e-02
3,6,7,80948,1.61906362007168472e-02
4,0,1,273547,5.47129016257040454e-02
4,0,2,168673,3.37367591525857685e-02
4,0,3,179526,3.59074980798771148e-02
4,0,4,189595,3.79214269713261665e-02
4,0,5,112335,2.24684379800307206e-02
4,0,6,146595,2.93208765360983108e-02
4,0,7,138602,2.77221742191500267e-02
4,1,2,277551,5.55137528801843347e-02
4,1,3,210283,4.20592917946748593e-02
4,1,4,184720,3.69463645673323085e-02
4,1,5,181950,3.63923291090629819e-02
4,1,6,237954,4.75938460061443927e-02
4,1,7,147550,2.95118887608806953e-02
4,2,3,201693,4.03411818356374796e-02
4,2,4,193127,3.86278721838197656e-02
4,2,5,117457,2.34929035458269313e-02
4,2,6,101519,2.03050995263696875e-02
4,2,7,151477,3.02973390296978999e-02
4,3,4,202484,4.04993919610855124e-02
4,3,5,252685,5.05402345750127976e-02
4,3,6,183342,3.66707469278033799e-02
4,3,7,150765,3.01549299155145917e-02
4,4,5,268644,5.37322388632872489e-02
4,4,6,149841,2.99701180875576040e-02
4,4,7,150736,3.01491295442908348e-02
4,5,6,155237,3.10493871607782912e-02
4,5,7,158077,3.16174235151049643e-02
4,6,7,113715,2.27444556451612892e-02
5,0,1,187261,3.74545970942140316e-02
5,0,2,211657,4.23341093830005150e-02
5,0,3,114007,2.28028593830005115e-02
5,0,4,165224,3.30469150025601635e-02
5,0,5,269852,5.39738543266769094e-02
5,0,6,170972,3.41965885816692267e-02
5,0,7,290985,5.82007248463901686e-02
5,1,2,209334,4.18694796466973912e-02
5,1,3,146526,2.93070756528417825e-02
5,1,4,186600,3.73223886328725024e-02
5,1,5,154854,3.09727822580645150e-02
5,1,6,173160,3.46342165898617521e-02
5,1,7,204803,4.09632216461853563e-02
5,2,3,160763,3.21546578981054820e-02
5,2,4,259119,5.18271169354838704e-02
5,2,5,148823,2.97665050563236042e-02
5,2,6,154826,3.09671818996415764e-02
5,2,7,154744,3.09507808499743971e-02
5,3,4,273579,5.47193020353302639e-02
5,3,5,102683,2.05379144265232967e-02
5,3,6,185734,3.71491775473630284e-02
5,3,7,113106,2.26226478494623642e-02
5,4,5,135211,2.70439308115719389e-02
5,4,6,117389,2.34793026753712247e-02
5,4,7,79241,1.58492143497183831e-02
5,5,6,248048,4.96127752176139247e-02
5,5,7,196635,3.93295170890936990e-02
5,6,7,184544,3.69111623143881240e-02
6,0,1,399295,7.98641113031234029e-02
6,0,2,142568,2.85154249871991811e-02
6,0,3,147246,2.94510848694316436e-02
