# BOBMOE0 G2 ROUTE STATS, prereg s.2 G2 definitions, frozen
# arm=moe stage=1 ckpt_step=500
# ckpt_sha256=e3547ef1ede090affd87b6e606aadd0a664f99376911567abead540b663c2374
# corpus_sha256=2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8
# corpus_bytes=100000000 train_end=90000000 val_end=95000000
# split=val split_start=90000000 split_end=95000000 ctx=256 windows=19531 positions=4999936
# moe_layers=5 E=8 k=2 eval_batch=32
# all floats are %.17e; dead_count is emitted as a float in every row
layer,e,f,count,share
0,0,1,150126,3.00255843274793918e-02
0,0,2,436119,8.72249164789309361e-02
0,0,3,178391,3.56786566868055877e-02
0,0,4,367875,7.35759417720546760e-02
0,0,5,641214,1.28244441528851560e-01
0,0,6,72922,1.45845866827095383e-02
0,0,7,138133,2.76269536250064000e-02
0,1,2,59438,1.18877521632276897e-02
0,1,3,117723,2.35449013747375951e-02
0,1,4,29721,5.94427608673391006e-03
0,1,5,21718,4.34365559879166478e-03
0,1,6,25042,5.00846410834058717e-03
0,1,7,150893,3.01789862910245253e-02
0,2,3,162004,3.24012147355486127e-02
0,2,4,186780,3.73564781629204881e-02
0,2,5,399273,7.98556221519635401e-02
0,2,6,67174,1.34349719676411863e-02
0,2,7,39463,7.89270102657313975e-03
0,3,4,133879,2.67761427346270044e-02
0,3,5,187334,3.74672795811786391e-02
0,3,6,140614,2.81231599764476987e-02
0,3,7,121476,2.42955109825405760e-02
0,4,5,271622,5.43250953612206267e-02
0,4,6,218558,4.37121595156418005e-02
0,4,7,47089,9.41792054938303189e-03
0,5,6,110761,2.21524835517894619e-02
0,5,7,174050,3.48104455737033441e-02
0,6,7,350544,7.01096974041267723e-02
1,0,1,175678,3.51360497414366924e-02
1,0,2,166593,3.33190264835389882e-02
1,0,3,281573,5.63153208361066998e-02
1,0,4,401160,8.02330269827453840e-02
1,0,5,27953,5.59067156059597520e-03
1,0,6,194070,3.88144968255593678e-02
1,0,7,11520,2.30402949157749223e-03
1,1,2,83699,1.67400142721826836e-02
1,1,3,164630,3.29264214581946671e-02
1,1,4,314602,6.29212053914290081e-02
1,1,5,183906,3.67816708053863087e-02
1,1,6,176465,3.52934517561824812e-02
1,1,7,439211,8.78433243945522524e-02
1,2,3,328080,6.56168398955506577e-02
1,2,4,24859,4.97186363985459030e-03
1,2,5,21516,4.30325508166504514e-03
1,2,6,216406,4.32817540064512826e-02
1,2,7,186353,3.72710770697864957e-02
1,3,4,174733,3.49470473222057224e-02
1,3,5,9921,1.98422539808509532e-03
1,3,6,151915,3.03833889073780138e-02
1,3,7,108049,2.16100766089805940e-02
1,4,5,234242,4.68489996671957384e-02
1,4,6,249590,4.99186389585786691e-02
1,4,7,127058,2.54119252726434895e-02
1,5,6,470710,9.41432050330244241e-02
1,5,7,20937,4.18745359940607235e-03
1,6,7,54507,1.09015395397061080e-02
2,0,1,401739,8.03488284650043516e-02
2,0,2,24093,4.81866167886948939e-03
2,0,3,34857,6.97148923506220840e-03
2,0,4,227565,4.55135825738569449e-02
2,0,5,175653,3.51310496774358688e-02
2,0,6,193697,3.87398958706671459e-02
2,0,7,333194,6.66396529875582372e-02
2,1,2,138602,2.77207548256617684e-02
2,1,3,77760,1.55521990681480714e-02
2,1,4,219775,4.39555626312016778e-02
2,1,5,105200,2.10402693154472381e-02
2,1,6,126337,2.52677234268598623e-02
2,1,7,88229,1.76460258691311239e-02
2,2,3,165846,3.31696245711945101e-02
2,2,4,57576,1.15153473964466745e-02
2,2,5,243901,4.87808243945522524e-02
2,2,6,286200,5.72407326813783243e-02
2,2,7,185798,3.71600756489683035e-02
2,3,4,102171,2.04344615611079805e-02
2,3,5,374319,7.48647582689058455e-02
2,3,6,295561,5.91129566458450662e-02
2,3,7,97665,1.95332500256003294e-02
2,4,5,369720,7.39449464953151336e-02
2,4,6,94066,1.88134408120423958e-02
2,4,7,182727,3.65458677871076734e-02
2,5,6,111947,2.23896865879883271e-02
2,5,7,118948,2.37899045107777367e-02
2,6,7,166790,3.33584269878654457e-02
3,0,1,196215,3.92435023168296523e-02
3,0,2,53298,1.06597364446264914e-02
3,0,3,517933,1.03587925925451851e-01
3,0,4,212301,4.24607434975167661e-02
3,0,5,12118,2.42363102247708777e-03
3,0,6,62145,1.24291590932363930e-02
3,0,7,167635,3.35274291510931355e-02
3,1,2,167288,3.34580282627617645e-02
3,1,3,75399,1.50799930239107066e-02
3,1,4,170641,3.41286368465516382e-02
3,1,5,530410,1.06083357866980699e-01
3,1,6,35719,7.14389144181045484e-03
3,1,7,218027,4.36059581562643975e-02
3,2,3,69581,1.39163781296400592e-02
3,2,4,86962,1.73926226255696065e-02
3,2,5,28297,5.65947244124724753e-03
3,2,6,206288,4.12581281040397332e-02
3,2,7,254793,5.09592522784291652e-02
3,3,4,199225,3.98455100225282854e-02
3,3,5,104392,2.08786672469407596e-02
3,3,6,196023,3.92051018253033665e-02
3,3,7,221100,4.42205660232450962e-02
3,4,5,313825,6.27658034022835487e-02
3,4,6,93392,1.86786390865803092e-02
3,4,7,114684,2.29370935947980151e-02
3,5,6,96241,1.92484463801136652e-02
3,5,7,184837,3.69678731887768189e-02
3,6,7,411167,8.22344526009932963e-02
4,0,1,95561,1.91124446392913830e-02
4,0,2,172195,3.44394408248425571e-02
4,0,3,80598,1.61198063335210688e-02
4,0,4,192821,3.85646936280784405e-02
4,0,5,186820,3.73644782653217988e-02
4,0,6,120021,2.40045072576928996e-02
4,0,7,122202,2.44407128411243679e-02
4,1,2,302060,6.04127732834980266e-02
