# BOBMOE0 G2 ROUTE STATS, prereg s.2 G2 definitions, frozen
# arm=moe stage=2 ckpt_step=500
# ckpt_sha256=936462e5dc415cd29dc8eeaa41a7a9a6249f0e10b05b7e06422ceb485784bf73
# corpus_sha256=2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8
# corpus_bytes=100000000 train_end=90000000 val_end=95000000
# split=val split_start=90000000 split_end=95000000 ctx=512 windows=9765 positions=4999680
# moe_layers=12 E=8 k=2 eval_batch=32
# all floats are %.17e; dead_count is emitted as a float in every row
scope,layer,n_positions,slots,pair_total,P_half,C_3,H,dead_count
layer,0,4999680,9999360,4999680,6.33774361559139798e-01,2.94818868407578094e-01,9.75726081245473886e-01,0.00000000000000000e+00
layer,1,4999680,9999360,4999680,6.36222618247567873e-01,2.62512000768049147e-01,9.69842980284715717e-01,0.00000000000000000e+00
layer,2,4999680,9999360,4999680,5.89229910714285765e-01,3.22359431003584218e-01,9.88534642424276355e-01,0.00000000000000000e+00
layer,3,4999680,9999360,4999680,5.66811475934459796e-01,1.85999103942652316e-01,9.91454164886404254e-01,0.00000000000000000e+00
layer,4,4999680,9999360,4999680,5.68177363351254461e-01,1.69333437339989762e-01,9.92713298031451474e-01,0.00000000000000000e+00
layer,5,4999680,9999360,4999680,5.47587745615719435e-01,1.81731030785970304e-01,9.95451023459151707e-01,0.00000000000000000e+00
layer,6,4999680,9999360,4999680,5.60713785682283694e-01,1.76902521761392734e-01,9.94023466412228385e-01,0.00000000000000000e+00
layer,7,4999680,9999360,4999680,5.51683807763696854e-01,1.85436667946748596e-01,9.95962321523445993e-01,0.00000000000000000e+00
layer,8,4999680,9999360,4999680,5.47370431707629335e-01,1.63862087173579113e-01,9.95421195114660873e-01,0.00000000000000000e+00
layer,9,4999680,9999360,4999680,5.71829597094213993e-01,2.17541322644649260e-01,9.92490069766384320e-01,0.00000000000000000e+00
layer,10,4999680,9999360,4999680,5.86065508192524343e-01,2.23010872695852541e-01,9.89257287173162414e-01,0.00000000000000000e+00
layer,11,4999680,9999360,4999680,6.47216621863799246e-01,3.04605094726062453e-01,9.68843455938982911e-01,0.00000000000000000e+00
mean,-1,4999680,9999360,4999680,5.83890268977214522e-01,2.24009369933009045e-01,9.87476665521694774e-01,0.00000000000000000e+00
