# BOBMOE0 G2 ROUTE STATS, prereg s.2 G2 definitions, frozen
# arm=moe stage=2 ckpt_step=500
# ckpt_sha256=9e7f5cf87d4b934d64d3d4c629bc577ffcf30ca7c1f79595bb9b7618352d9511
# corpus_sha256=2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8
# corpus_bytes=100000000 train_end=90000000 val_end=95000000
# split=val split_start=90000000 split_end=95000000 ctx=512 windows=9765 positions=4999680
# moe_layers=12 E=8 k=2 eval_batch=32
# all floats are %.17e; dead_count is emitted as a float in every row
scope,layer,n_positions,slots,pair_total,P_half,C_3,H,dead_count
layer,0,4999680,9999360,4999680,5.71602082533282152e-01,2.89617135496671785e-01,9.92092022378581628e-01,0.00000000000000000e+00
layer,1,4999680,9999360,4999680,5.31550019201228907e-01,2.73697516641065008e-01,9.98163125980008337e-01,0.00000000000000000e+00
layer,2,4999680,9999360,4999680,5.23781722030209895e-01,2.71333365335381438e-01,9.98822944510372568e-01,0.00000000000000000e+00
layer,3,4999680,9999360,4999680,5.34950336821556571e-01,1.82439476126472100e-01,9.98178480085142650e-01,0.00000000000000000e+00
layer,4,4999680,9999360,4999680,5.48021573380696347e-01,1.63958893369175629e-01,9.96515331096801127e-01,0.00000000000000000e+00
layer,5,4999680,9999360,4999680,5.22820260496671740e-01,1.66893881208397349e-01,9.98964478829775016e-01,0.00000000000000000e+00
layer,6,4999680,9999360,4999680,5.51128672235023043e-01,1.78374415962621602e-01,9.96439425454392236e-01,0.00000000000000000e+00
layer,7,4999680,9999360,4999680,5.39080401145673349e-01,2.00166610663082445e-01,9.96934867989208717e-01,0.00000000000000000e+00
layer,8,4999680,9999360,4999680,5.51853018593189915e-01,1.83585349462365599e-01,9.96926541427430646e-01,0.00000000000000000e+00
layer,9,4999680,9999360,4999680,5.59934435803891462e-01,2.36888160842293916e-01,9.93721794445892037e-01,0.00000000000000000e+00
layer,10,4999680,9999360,4999680,5.72161218317972398e-01,2.40448988735279062e-01,9.93045025342008447e-01,0.00000000000000000e+00
layer,11,4999680,9999360,4999680,6.16665066564260123e-01,3.07703293010752665e-01,9.79888488289439197e-01,0.00000000000000000e+00
mean,-1,4999680,9999360,4999680,5.51962400593637992e-01,2.24592257237796550e-01,9.94974377152421208e-01,0.00000000000000000e+00
