# utc  lock_present  running_leg  loadavg1
2026-09-01T01:18:45Z yes /root/ob1b/llama.cpp 8.10
2026-09-01T01:19:51Z yes /root/ob1b/llama.cpp 7.96
2026-09-01T01:20:56Z yes /root/ob1b/llama.cpp 7.99
2026-09-01T01:22:02Z yes /root/ob1b/llama.cpp 7.73
2026-09-01T01:23:07Z yes /root/ob1b/llama.cpp 7.62
2026-09-01T01:24:12Z yes /root/ob1b/llama.cpp 7.99
2026-09-01T01:25:18Z yes /root/ob1b/llama.cpp 6.62
2026-09-01T01:26:21Z yes /root/ob1b/llama.cpp 7.49
2026-09-01T01:27:26Z yes /root/ob1b/llama.cpp 7.82
2026-09-01T01:28:31Z yes /root/ob1b/llama.cpp 7.93
2026-09-01T01:29:36Z yes /root/ob1b/llama.cpp 7.98
2026-09-01T01:30:42Z yes /root/ob1b/llama.cpp 7.99
2026-09-01T01:31:48Z yes /root/ob1b/llama.cpp 8.00
2026-09-01T01:32:54Z yes /root/ob1b/llama.cpp 7.63
2026-09-01T01:33:56Z yes /root/ob1b/llama.cpp 7.86
2026-09-01T01:35:02Z yes /root/ob1b/llama.cpp 8.03
2026-09-01T01:36:08Z yes /root/ob4/llama.cpp 5.41
2026-09-01T01:37:14Z yes /root/ob4/llama.cpp 5.91
2026-09-01T01:38:20Z yes /root/ob4/llama.cpp 8.23
2026-09-01T01:39:25Z yes /root/ob4/llama.cpp 9.39
2026-09-01T01:40:31Z yes /root/ob4/llama.cpp 9.31
2026-09-01T01:41:34Z yes /root/ob4/llama.cpp 9.37
2026-09-01T01:42:40Z yes /root/ob4/llama.cpp 9.19
2026-09-01T01:43:46Z yes /root/ob4/llama.cpp 9.71
2026-09-01T01:44:51Z yes /root/ob4/llama.cpp 9.42
2026-09-01T01:45:57Z yes /root/ob4/llama.cpp 9.79
2026-09-01T01:47:03Z yes /root/ob4/llama.cpp 7.72
2026-09-01T01:48:08Z yes /root/ob4/llama.cpp 6.62
2026-09-01T01:49:14Z yes /root/ob4/llama.cpp 6.64
2026-09-01T01:50:16Z yes /root/ob4/llama.cpp 6.78
2026-09-01T01:51:23Z yes /root/ob4/llama.cpp 6.48
2026-09-01T01:52:29Z yes /root/ob4/llama.cpp 6.69
2026-09-01T01:53:35Z yes /root/ob4/llama.cpp 5.79
2026-09-01T01:54:42Z yes /root/ob4/llama.cpp 6.41
2026-09-01T01:55:48Z yes /root/ob4/llama.cpp 6.33
2026-09-01T01:56:54Z yes /root/ob4/llama.cpp 6.68
2026-09-01T01:57:57Z yes /root/ob4/llama.cpp 7.59
2026-09-01T01:59:03Z yes /root/ob4/llama.cpp 6.54
2026-09-01T02:00:09Z yes /root/ob4/llama.cpp 5.64
2026-09-01T02:01:16Z yes /root/ob4/llama.cpp 6.39
2026-09-01T02:02:22Z yes /root/ob4/llama.cpp 6.20
2026-09-01T02:03:28Z yes /root/ob4/llama.cpp 6.43
2026-09-01T02:04:33Z yes /root/ob4/llama.cpp 6.15
2026-09-01T02:05:36Z yes /root/ob4/llama.cpp 5.99
2026-09-01T02:06:42Z yes /root/ob4/llama.cpp 5.81
2026-09-01T02:07:48Z yes /root/ob4/llama.cpp 6.11
2026-09-01T02:08:53Z yes /root/ob4/llama.cpp 7.00
2026-09-01T02:09:59Z yes /root/ob4/llama.cpp 6.04
2026-09-01T02:11:05Z yes /root/ob4/llama.cpp 5.77
2026-09-01T02:12:07Z yes /root/ob4/llama.cpp 4.46
2026-09-01T02:13:08Z yes /root/ob4/llama.cpp 4.99
2026-09-01T02:14:12Z yes /root/ob4/llama.cpp 5.69
2026-09-01T02:15:15Z yes /root/ob4/llama.cpp 6.01
2026-09-01T02:16:19Z yes /root/ob4/llama.cpp 5.52
2026-09-01T02:17:24Z no none 5.48
2026-09-01T02:18:29Z yes /root/ob1b/llama.cpp 4.80
2026-09-01T02:19:33Z yes /root/ob1b/llama.cpp 4.72
2026-09-01T02:20:36Z yes /root/ob1b/llama.cpp 5.35
2026-09-01T02:21:40Z yes /root/ob1b/llama.cpp 5.26
2026-09-01T02:22:44Z yes /root/ob1b/llama.cpp 4.21
2026-09-01T02:23:49Z yes /root/ob1b/llama.cpp 5.01
2026-09-01T02:24:53Z yes /root/ob1b/llama.cpp 5.77
2026-09-01T02:25:58Z yes /root/ob1b/llama.cpp 5.89
2026-09-01T02:27:02Z yes /root/ob1b/llama.cpp 6.26
2026-09-01T02:28:07Z yes /root/ob1b/llama.cpp 6.18
2026-09-01T02:29:09Z yes /root/ob1b/llama.cpp 5.82
2026-09-01T02:30:14Z yes /root/ob1b/llama.cpp 5.77
2026-09-01T02:31:18Z yes /root/ob1b/llama.cpp 5.67
2026-09-01T02:32:23Z yes /root/ob1b/llama.cpp 5.79
2026-09-01T02:33:27Z yes /root/ob3/llama.cpp 5.25
2026-09-01T02:34:32Z yes /root/ob3/llama.cpp 6.43
2026-09-01T02:35:34Z yes /root/ob3/llama.cpp 6.86
2026-09-01T02:36:35Z yes /root/ob1b/llama.cpp 5.95
2026-09-01T02:37:39Z yes /root/ob1b/llama.cpp 6.28
2026-09-01T02:38:43Z yes /root/ob1b/llama.cpp 5.94
2026-09-01T02:39:47Z yes /root/ob1b/llama.cpp 5.89
2026-09-01T02:40:52Z yes /root/ob1b/llama.cpp 5.51
2026-09-01T02:41:57Z yes /root/ob1b/llama.cpp 5.70
2026-09-01T02:43:02Z yes /root/ob1b/llama.cpp 5.25
2026-09-01T02:44:04Z yes /root/ob1b/llama.cpp 5.55
2026-09-01T02:45:09Z yes /root/ob1b/llama.cpp 5.89
2026-09-01T02:46:13Z yes /root/ob1b/llama.cpp 5.71
2026-09-01T02:47:18Z yes /root/ob1b/llama.cpp 6.11
2026-09-01T02:48:22Z yes /root/ob1b/llama.cpp 6.57
2026-09-01T02:49:27Z yes /root/ob1b/llama.cpp 5.66
2026-09-01T02:50:32Z yes /root/ob1b/llama.cpp 5.19
2026-09-01T02:51:35Z yes /root/ob1b/llama.cpp 6.01
2026-09-01T02:52:39Z yes /root/ob3/llama.cpp 4.77
2026-09-01T02:53:44Z yes /root/ob3/llama.cpp 5.75
2026-09-01T02:54:48Z yes /root/ob3/llama.cpp 5.47
2026-09-01T02:55:53Z yes /root/ob3/llama.cpp 6.22
2026-09-01T02:56:58Z yes /root/ob3/llama.cpp 6.14
2026-09-01T02:58:02Z yes /root/ob3/llama.cpp 6.22
2026-09-01T02:59:04Z yes /root/ob3/llama.cpp 6.61
2026-09-01T03:00:08Z yes /root/ob3/llama.cpp 5.86
2026-09-01T03:01:12Z yes /root/ob3/llama.cpp 6.13
2026-09-01T03:02:17Z yes /root/ob3/llama.cpp 5.58
2026-09-01T03:03:21Z yes /root/ob3/llama.cpp 6.15
2026-09-01T03:04:25Z yes /root/ob3/llama.cpp 6.20
2026-09-01T03:05:30Z yes /root/ob3/llama.cpp 5.95
2026-09-01T03:06:32Z yes /root/ob3/llama.cpp 7.28
2026-09-01T03:07:37Z yes /root/ob3/llama.cpp 7.74
2026-09-01T03:08:41Z yes /root/ob3/llama.cpp 7.68
2026-09-01T03:09:47Z yes /root/ob3/llama.cpp 7.62
2026-09-01T03:10:52Z yes /root/ob3/llama.cpp 7.86
2026-09-01T03:11:58Z yes /root/ob3/llama.cpp 7.58
2026-09-01T03:13:03Z yes /root/ob3/llama.cpp 7.85
2026-09-01T03:14:09Z yes /root/ob3/llama.cpp 7.72
2026-09-01T03:15:11Z yes /root/ob3/llama.cpp 7.83
2026-09-01T03:16:17Z yes /root/ob3/llama.cpp 6.73
2026-09-01T03:17:22Z yes /root/ob3/llama.cpp 6.39
2026-09-01T03:18:28Z yes /root/ob3/llama.cpp 6.79
2026-09-01T03:19:33Z yes /root/ob3/llama.cpp 6.46
2026-09-01T03:20:38Z yes /root/ob3/llama.cpp 6.03
2026-09-01T03:21:44Z yes /root/ob3/llama.cpp 5.75
2026-09-01T03:22:46Z yes /root/ob3/llama.cpp 5.94
2026-09-01T03:23:52Z yes /root/ob3/llama.cpp 6.51
2026-09-01T03:24:57Z yes /root/ob3/llama.cpp 6.18
2026-09-01T03:26:02Z yes /root/ob3/llama.cpp 6.49
2026-09-01T03:27:08Z yes /root/ob3/llama.cpp 6.81
2026-09-01T03:28:13Z yes /root/ob3/llama.cpp 7.01
2026-09-01T03:29:19Z yes /root/ob3/llama.cpp 6.76
2026-09-01T03:30:21Z yes /root/ob3/llama.cpp 7.23
2026-09-01T03:31:27Z yes /root/ob3/llama.cpp 7.03
2026-09-01T03:32:33Z yes /root/ob3/llama.cpp 6.99
2026-09-01T03:33:39Z yes /root/ob3/llama.cpp 6.07
2026-09-01T03:34:45Z yes /root/ob3/llama.cpp 6.55
2026-09-01T03:35:50Z yes /root/ob3/llama.cpp 7.07
2026-09-01T03:36:56Z yes /root/ob3/llama.cpp 6.04
2026-09-01T03:37:59Z yes /root/ob3/llama.cpp 5.99
2026-09-01T03:39:05Z yes /root/ob3/llama.cpp 7.56
2026-09-01T03:40:10Z yes /root/ob3/llama.cpp 7.16
2026-09-01T03:41:16Z yes /root/ob3/llama.cpp 6.70
2026-09-01T03:42:21Z yes /root/ob3/llama.cpp 6.24
2026-09-01T03:43:27Z yes /root/ob3/llama.cpp 6.67
2026-09-01T03:44:32Z yes none 3.06
2026-09-01T03:45:34Z yes none 1.12
2026-09-01T03:46:39Z yes none 0.41
2026-09-01T03:47:45Z no none 0.23
2026-09-01T03:48:50Z yes /root/ob4b/llama.cpp 2.88
2026-09-01T03:49:56Z yes /root/ob4b/llama.cpp 4.95
2026-09-01T03:51:01Z yes /root/ob4b/llama.cpp 7.49
2026-09-01T03:52:07Z yes /root/ob3/llama.cpp 5.32
2026-09-01T03:53:12Z yes /root/ob3/llama.cpp 4.12
2026-09-01T03:54:15Z yes /root/ob3/llama.cpp 5.02
2026-09-01T03:55:21Z yes /root/ob3/llama.cpp 5.20
2026-09-01T03:56:27Z yes /root/ob3/llama.cpp 6.44
2026-09-01T03:57:32Z yes /root/ob3/llama.cpp 5.52
2026-09-01T03:58:38Z yes /root/ob3/llama.cpp 5.41
2026-09-01T03:59:44Z yes /root/ob3/llama.cpp 6.20
